
================================================================================
2020-10-24, 13:45:05

================================================================================
2020-10-24, 13:52:18

================================================================================
2020-10-24, 14:03:08
001  00374 |Loss: 3.370 | Acc: 86.567% 
001  00375 |Loss: 3.368 | Acc: 86.584% 
001  00376 |Loss: 3.367 | Acc: 86.601% 
001  00377 |Loss: 3.366 | Acc: 86.607% 
001  00378 |Loss: 3.364 | Acc: 86.624% 
001  00379 |Loss: 3.363 | Acc: 86.633% 
001  00380 |Loss: 3.361 | Acc: 86.655% 
001  00381 |Loss: 3.360 | Acc: 86.672% 
001  00382 |Loss: 3.359 | Acc: 86.688% 
001  00383 |Loss: 3.357 | Acc: 86.700% 
001  00384 |Loss: 3.356 | Acc: 86.719% 
001  00385 |Loss: 3.355 | Acc: 86.730% 
001  00386 |Loss: 3.353 | Acc: 86.754% 
001  00387 |Loss: 3.352 | Acc: 86.767% 
001  00388 |Loss: 3.350 | Acc: 86.791% 
001  00389 |Loss: 3.349 | Acc: 86.812% 
001  00390 |Loss: 3.347 | Acc: 86.833% 
001  00391 |Loss: 3.346 | Acc: 86.852% 
001  00392 |Loss: 3.344 | Acc: 86.880% 
001  00393 |Loss: 3.343 | Acc: 86.893% 
001  00394 |Loss: 3.341 | Acc: 86.921% 
001  00395 |Loss: 3.340 | Acc: 86.939% 
001  00396 |Loss: 3.339 | Acc: 86.952% 
001  00397 |Loss: 3.337 | Acc: 86.967% 
001  00398 |Loss: 3.336 | Acc: 86.990% 
001  00399 |Loss: 3.334 | Acc: 87.010% 
001  00400 |Loss: 3.333 | Acc: 87.012% 
001  00401 |Loss: 3.332 | Acc: 87.032% 
001  00402 |Loss: 3.331 | Acc: 87.045% 
001  00403 |Loss: 3.329 | Acc: 87.062% 
001  00404 |Loss: 3.328 | Acc: 87.082% 
001  00405 |Loss: 3.327 | Acc: 87.094% 
001  00406 |Loss: 3.326 | Acc: 87.111% 
001  00407 |Loss: 3.325 | Acc: 87.120% 
001  00408 |Loss: 3.323 | Acc: 87.142% 
001  00409 |Loss: 3.322 | Acc: 87.156% 
001  00410 |Loss: 3.321 | Acc: 87.163% 
001  00411 |Loss: 3.319 | Acc: 87.185% 
001  00412 |Loss: 3.318 | Acc: 87.184% 
001  00413 |Loss: 3.317 | Acc: 87.196% 
001  00414 |Loss: 3.316 | Acc: 87.215% 
001  00415 |Loss: 3.314 | Acc: 87.229% 
001  00416 |Loss: 3.313 | Acc: 87.245% 
001  00417 |Loss: 3.312 | Acc: 87.266% 
001  00418 |Loss: 3.311 | Acc: 87.278% 
001  00419 |Loss: 3.309 | Acc: 87.301% 
001  00420 |Loss: 3.308 | Acc: 87.324% 
001  00421 |Loss: 3.306 | Acc: 87.347% 
001  00422 |Loss: 3.305 | Acc: 87.370% 
001  00423 |Loss: 3.303 | Acc: 87.385% 
001  00424 |Loss: 3.302 | Acc: 87.410% 
001  00425 |Loss: 3.301 | Acc: 87.424% 
001  00426 |Loss: 3.300 | Acc: 87.430% 
001  00427 |Loss: 3.298 | Acc: 87.447% 
001  00428 |Loss: 3.297 | Acc: 87.467% 
001  00429 |Loss: 3.296 | Acc: 87.485% 
001  00430 |Loss: 3.294 | Acc: 87.502% 
001  00431 |Loss: 3.293 | Acc: 87.517% 
001  00432 |Loss: 3.292 | Acc: 87.535% 
001  00433 |Loss: 3.291 | Acc: 87.557% 
001  00434 |Loss: 3.290 | Acc: 87.567% 
001  00435 |Loss: 3.289 | Acc: 87.579% 
001  00436 |Loss: 3.287 | Acc: 87.601% 
001  00437 |Loss: 3.286 | Acc: 87.616% 
001  00438 |Loss: 3.285 | Acc: 87.639% 
001  00439 |Loss: 3.283 | Acc: 87.661% 
001  00440 |Loss: 3.282 | Acc: 87.677% 
001  00441 |Loss: 3.281 | Acc: 87.692% 
001  00442 |Loss: 3.280 | Acc: 87.699% 
001  00443 |Loss: 3.279 | Acc: 87.716% 
001  00444 |Loss: 3.277 | Acc: 87.730% 
001  00445 |Loss: 3.276 | Acc: 87.751% 
001  00446 |Loss: 3.275 | Acc: 87.758% 
001  00447 |Loss: 3.274 | Acc: 87.781% 
001  00448 |Loss: 3.272 | Acc: 87.795% 
001  00449 |Loss: 3.271 | Acc: 87.811% 
001  00450 |Loss: 3.270 | Acc: 87.829% 
001  00451 |Loss: 3.269 | Acc: 87.834% 
001  00452 |Loss: 3.268 | Acc: 87.843% 
001  00453 |Loss: 3.267 | Acc: 87.852% 
001  00454 |Loss: 3.265 | Acc: 87.861% 
001  00455 |Loss: 3.264 | Acc: 87.877% 
001  00456 |Loss: 3.263 | Acc: 87.890% 
001  00457 |Loss: 3.262 | Acc: 87.895% 
001  00458 |Loss: 3.261 | Acc: 87.915% 
001  00459 |Loss: 3.260 | Acc: 87.928% 
001  00460 |Loss: 3.258 | Acc: 87.943% 
001  00461 |Loss: 3.257 | Acc: 87.963% 
001  00462 |Loss: 3.256 | Acc: 87.970% 
001  00463 |Loss: 3.255 | Acc: 87.987% 
001  00464 |Loss: 3.254 | Acc: 87.998% 
001  00465 |Loss: 3.253 | Acc: 88.006% 
001  00466 |Loss: 3.251 | Acc: 88.026% 
001  00467 |Loss: 3.250 | Acc: 88.045% 
001  00468 |Loss: 3.249 | Acc: 88.060% 
001  00469 |Loss: 3.248 | Acc: 88.070% 
001  00470 |Loss: 3.247 | Acc: 88.083% 
001  00471 |Loss: 3.246 | Acc: 88.104% 
001  00472 |Loss: 3.245 | Acc: 88.119% 
001  00473 |Loss: 3.244 | Acc: 88.131% 
001  00474 |Loss: 3.242 | Acc: 88.146% 
001  00475 |Loss: 3.241 | Acc: 88.164% 
001  00476 |Loss: 3.240 | Acc: 88.181% 
001  00477 |Loss: 3.239 | Acc: 88.199% 
001  00478 |Loss: 3.238 | Acc: 88.205% 
001  00479 |Loss: 3.237 | Acc: 88.213% 
001  00480 |Loss: 3.236 | Acc: 88.221% 
001  00481 |Loss: 3.235 | Acc: 88.237% 
001  00482 |Loss: 3.234 | Acc: 88.253% 
001  00483 |Loss: 3.233 | Acc: 88.265% 
001  00484 |Loss: 3.232 | Acc: 88.273% 
001  00485 |Loss: 3.231 | Acc: 88.282% 
